test,politician,cleaned_tokens
2020-10-01,Biden,5.633725749062295
2020-10-01,Trump,5.5486334761836025
2020-10-02,Biden,5.6876741725095545
2020-10-02,Trump,5.445588786970803
2020-10-03,Biden,5.715096649623913
2020-10-03,Trump,5.48812626794547
2020-10-04,Biden,5.714744375109481
2020-10-04,Trump,5.510103852119833
2020-10-05,Biden,5.615179894090865
2020-10-05,Trump,5.489804226157609
2020-10-06,Biden,5.784697755648392
2020-10-06,Trump,5.541730303297484
2020-10-07,Biden,5.669928778139797
2020-10-07,Trump,5.5302505532532145
2020-10-08,Biden,5.690657467028418
2020-10-08,Trump,5.478586688455308
2020-10-09,Biden,5.674299163568343
2020-10-09,Trump,5.535044920842054
2020-10-10,Biden,5.585328857780853
2020-10-10,Trump,5.490198684224502
2020-10-11,Biden,5.534473368190124
2020-10-11,Trump,5.478167905145509
2020-10-12,Biden,5.636722050896631
2020-10-12,Trump,5.576644678184838
2020-10-13,Biden,5.355791377056555
2020-10-13,Trump,5.499626633017098
2020-10-14,Biden,5.468970138544279
2020-10-14,Trump,5.552129821802205
2020-10-15,Biden,5.603877029551658
2020-10-15,Trump,5.526466746483088
2020-10-16,Biden,5.7580748262701045
2020-10-16,Trump,5.538550027104906
2020-10-17,Biden,5.65188009655661
2020-10-17,Trump,5.519148563439015
2020-10-18,Biden,5.651898102665731
2020-10-18,Trump,5.499527141158261
2020-10-19,Biden,5.6336056363916125
2020-10-19,Trump,5.525019894286675
2020-10-20,Biden,5.674201417125261
2020-10-20,Trump,5.513933362116972
2020-10-21,Biden,5.679668520600844
2020-10-21,Trump,5.578440616442345
2020-10-22,Biden,5.470981805861119
2020-10-22,Trump,5.555784441946156
2020-10-23,Biden,5.6919734778922875
2020-10-23,Trump,5.5205696900924375
2020-10-24,Biden,5.657707537434588
2020-10-24,Trump,5.5569683089982576
2020-10-25,Biden,5.612001271815938
2020-10-25,Trump,5.510666973137043
2020-10-26,Biden,5.70365163098568
2020-10-26,Trump,5.4805605998953215
2020-10-27,Biden,5.503266449887873
2020-10-27,Trump,5.542713802889379
2020-10-28,Biden,5.538123472865377
2020-10-28,Trump,5.503481517701099
2020-10-29,Biden,5.5659964788849665
2020-10-29,Trump,5.5522090186585915
2020-10-30,Biden,5.537894002520301
2020-10-30,Trump,5.561496101466523
2020-10-31,Biden,5.644485877784305
2020-10-31,Trump,5.521391595910795
2020-11-01,Biden,5.769951160544605
2020-11-01,Trump,5.512172412663444
2020-11-02,Biden,5.743683935772602
2020-11-02,Trump,5.5398594632616325
2020-11-03,Biden,5.613575100447796
2020-11-03,Trump,5.413970015768741
2020-11-04,Biden,6.966664344445218
2020-11-06,Trump,5.419999583076956
2020-11-07,Biden,5.214693771128698
2020-11-07,Trump,5.462999726850013
